user,is_anonymous,num_edits,added_words,deleted_words,changed_words,reverts_done,num_added_on_users,num_deleted_from_users,num_edited_after_users,num_reverted_users,num_reverted_by_users,vandal_label,deletion_ratio,aggression_ratio,community_rejection,revert_ratio
Cchhrriiss,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
202.124.72.106,1,1,6,82,1,1,2,0,1,1,4,0,0.9111111111111111,0.0,1.0,0.5
Lightsout,0,2,8,3,0,0,1,1,0,0,0,0,0.25,0.3333333333333333,0.0,0.0
Ramisses,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Mustafa Bakacak,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0
80.92.96.24,1,1,10,0,0,1,1,0,0,0,1,0,0.0,0.0,0.5,0.5
Wasbeer,0,3,0,0,0,3,0,0,0,9,0,0,0.0,0.0,0.0,0.75
Crowbartexas,0,1,1,170,1,0,0,1,1,0,1,0,0.9826589595375722,0.5,0.3333333333333333,0.0
Rushikesh ghatpande,0,1,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Edward Vielmetti,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Bmoor96,0,1,4,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
Bigmooseextreme,0,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,1.0,0.0
Jim Derby,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
67.164.95.149,1,1,2,0,0,0,1,0,0,0,4,0,0.0,0.0,2.0,0.0
82.8.238.42,1,1,0,0,0,0,0,0,0,0,5,0,0.0,0.0,5.0,0.0
Djminisite,0,1,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.0,0.0
Dorotheou,0,1,0,2,0,0,0,1,0,0,1,0,0.6666666666666666,0.5,0.5,0.0
Swatnio~enwiki,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
94.97.53.81,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
98.228.26.76,1,1,0,107,0,0,0,1,0,0,0,0,0.9907407407407407,0.5,0.0,0.0
Asrefaei,0,1,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
220.255.2.160,1,1,2,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
Aaronsclee,0,1,3,1,1,0,0,0,1,0,0,0,0.16666666666666666,0.0,0.0,0.0
Sparkleyyx,0,2,11,0,0,0,3,0,0,0,0,0,0.0,0.0,0.0,0.0
46.187.85.157,1,1,0,6,0,0,0,1,0,0,0,0,0.8571428571428571,0.5,0.0,0.0
190.177.244.185,1,1,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.0,0.0
SDistheBest,0,3,13,0,0,1,3,0,0,0,2,0,0.0,0.0,0.5,0.25
Emyil,0,3,6,0,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0
184.57.134.10,1,1,1,0,0,0,1,0,0,0,1,1,0.0,0.0,0.5,0.0
165.24.201.185,1,1,1,17,1,0,0,0,1,0,5,0,0.85,0.0,2.5,0.0
Ds13,0,3,8,7,5,2,2,0,2,2,4,0,0.3333333333333333,0.0,0.8,0.5
CopperSquare,0,5,0,1,0,0,0,1,0,0,0,0,0.5,0.16666666666666666,0.0,0.0
139.222.244.214,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
74.130.206.165,1,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
NisseSthlm,0,1,5,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Cgt,0,7,1,0,0,4,1,0,0,18,4,0,0.0,0.0,2.0,0.5
92.13.92.174,1,1,4,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
75.49.250.42,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Bas van Leeuwen,0,1,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.5
JoelDick,0,1,1,0,0,1,1,0,0,3,6,0,0.0,0.0,3.0,0.5
Guzikov96,0,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
87.102.10.176,1,1,0,8,0,0,0,1,0,0,1,0,0.8888888888888888,0.5,0.5,0.0
Toyotatundra,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Elvisandmick,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
R.e.b.,0,2,19,84,0,0,1,1,0,0,0,0,0.8076923076923077,0.3333333333333333,0.0,0.0
203.87.208.90,1,1,1,22,1,0,0,0,1,0,2,0,0.88,0.0,1.0,0.0
Ses4j,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
WestwoodMatt,0,1,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.5
72.53.157.4,1,1,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Ukrained,0,1,2,3,2,0,0,0,1,0,0,0,0.375,0.0,0.0,0.0
Cratylus3,0,1,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.0,0.0
Auraceon,0,1,11,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Knobsheller,0,1,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Redrose64,0,7,2,7,0,2,1,4,0,2,1,0,0.7,0.5,0.16666666666666666,0.25
109.173.14.74,1,1,1,1,1,0,0,0,1,0,2,0,0.25,0.0,1.0,0.0
Hahnchen,0,1,0,3,0,0,0,1,0,0,0,0,0.75,0.5,0.0,0.0
86.47.87.97,1,1,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Pol098,0,11,115,62,26,1,8,1,7,1,2,0,0.30392156862745096,0.08333333333333333,0.11764705882352941,0.08333333333333333
Kevz1140,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
188.155.66.208,1,1,1,3,1,0,0,0,1,0,0,0,0.5,0.0,0.0,0.0
90.217.223.165,1,1,0,0,0,0,0,0,0,0,2,0,0.0,0.0,2.0,0.0
Deattitude,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
109.149.126.99,1,1,0,0,0,0,0,0,0,0,3,0,0.0,0.0,3.0,0.0
146.115.86.240,1,1,6,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
80.45.166.90,1,1,9,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
Easy on the fluids,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
122.160.7.163,1,1,1,6,1,0,0,0,1,0,1,0,0.6666666666666666,0.0,0.5,0.0
79.223.13.203,1,1,3,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
72.248.210.37,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Shieber,0,1,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.0,0.0
69.142.6.25,1,1,4,5,4,0,0,0,1,0,0,0,0.35714285714285715,0.0,0.0,0.0
96.235.24.211,1,1,19,1,1,0,0,0,1,0,1,0,0.045454545454545456,0.0,0.5,0.0
217.221.169.13,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Trusilver,0,24,0,0,0,46,0,0,0,104,23,0,0.0,0.0,23.0,1.84
71.192.95.16,1,1,4,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Ganeshk,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
80.227.70.20,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
190.10.171.240,1,1,4,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
86.159.95.170,1,1,3,91,3,0,0,0,1,0,1,0,0.9285714285714286,0.0,0.5,0.0
121.241.127.1,1,1,2,0,0,0,2,0,0,0,1,1,0.0,0.0,0.3333333333333333,0.0
66.177.136.244,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Spangineer,0,2,0,8,0,0,0,1,0,0,0,0,0.8888888888888888,0.3333333333333333,0.0,0.0
74.215.93.13,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
92.98.232.121,1,1,0,2,0,0,0,1,0,0,0,0,0.6666666666666666,0.5,0.0,0.0
204.169.235.150,1,1,5,2,2,0,0,0,1,0,2,0,0.2,0.0,1.0,0.0
Junebea1,0,2,8,5,0,2,1,1,0,1,2,0,0.35714285714285715,0.3333333333333333,0.6666666666666666,0.6666666666666666
Jay Gatsby,0,2,1,19,1,2,0,3,1,1,0,0,0.8636363636363636,1.0,0.0,0.6666666666666666
Easy4me,0,7,12,4,2,0,1,2,2,0,4,0,0.21052631578947367,0.25,0.6666666666666666,0.0
216.51.61.229,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
70.160.196.119,1,1,2,0,0,0,1,0,0,0,2,0,0.0,0.0,1.0,0.0
74.108.57.36,1,1,24,0,0,0,1,0,0,0,1,1,0.0,0.0,0.5,0.0
Pyfan,0,1,0,0,0,1,0,0,0,5,1,0,0.0,0.0,1.0,0.5
71.204.182.210,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Arianna.h.lee,0,1,4,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
80.61.215.146,1,1,3,0,0,0,1,0,0,0,1,1,0.0,0.0,0.5,0.0
200.79.150.159,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Emlodik,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
EnigmaMcmxc,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
209.197.139.236,1,1,3,7,1,0,0,1,1,0,0,1,0.5833333333333334,0.5,0.0,0.0
89.242.151.180,1,1,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.0,0.0
78.147.48.234,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
JamesAM,0,2,3,6,2,0,0,3,1,0,0,0,0.5,1.0,0.0,0.0
Rontrigger,0,2,1,1,1,0,0,0,1,0,0,0,0.25,0.0,0.0,0.0
170.211.23.103,1,1,1,1,1,0,0,0,1,0,0,0,0.25,0.0,0.0,0.0
86.163.15.6,1,1,3,0,0,0,2,0,0,0,1,0,0.0,0.0,0.3333333333333333,0.0
121.44.47.73,1,1,12,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
Tim PF,0,2,0,1,0,8,0,1,0,22,3,0,0.5,0.3333333333333333,1.5,2.6666666666666665
Vclaw,0,1,2,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
121.44.215.136,1,1,0,1,0,0,0,1,0,0,0,0,0.5,0.5,0.0,0.0
129.252.69.217,1,1,25,17,0,0,1,2,0,0,0,0,0.3953488372093023,1.0,0.0,0.0
StewieK,0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
Diliff,0,1,5,1,0,0,1,1,0,0,0,0,0.14285714285714285,0.5,0.0,0.0
67.70.154.20,1,1,0,0,0,1,0,0,0,5,1,0,0.0,0.0,1.0,0.5
188.52.23.102,1,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
213.93.242.228,1,1,1,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
Gmaxwell,0,1,133,48,21,1,2,3,3,1,1,0,0.23645320197044334,1.5,0.1111111111111111,0.5
SRIkKANTH2308,0,1,1,1,1,1,0,0,1,1,2,0,0.25,0.0,1.0,0.5
Ryulong,0,11,31,65,7,14,6,6,5,18,6,0,0.625,0.5,0.3333333333333333,1.1666666666666667
66.116.13.179,1,1,22,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
70.81.219.135,1,1,0,5,0,0,0,1,0,0,2,0,0.8333333333333334,0.5,1.0,0.0
Lone boatman,0,2,1,2,1,1,0,1,1,1,4,0,0.4,0.3333333333333333,1.3333333333333333,0.3333333333333333
69.121.51.234,1,1,7,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
Killjoy27,0,1,3,6194,3,0,0,0,1,0,5,1,0.998871149814546,0.0,2.5,0.0
Crisco 1492,0,17,31,3,1,2,5,2,1,7,2,0,0.08333333333333333,0.1111111111111111,0.2222222222222222,0.1111111111111111
98.230.148.30,1,1,1,0,0,0,1,0,0,0,4,0,0.0,0.0,2.0,0.0
SuperLuke05,0,1,3,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
Userpd,0,1,0,0,0,2,0,0,0,1,1,0,0.0,0.0,1.0,1.0
106.78.246.229,1,1,5,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
95.116.179.142,1,1,3,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
Shii,0,2,2,0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0
Pocketthis,0,1,18,3,2,5,6,0,2,14,2,0,0.125,0.0,0.2222222222222222,2.5
Spenaust,0,2,6,0,0,0,2,0,0,0,2,0,0.0,0.0,0.6666666666666666,0.0
BringItOn0808,0,1,20,2,2,0,0,0,1,0,1,1,0.08,0.0,0.5,0.0
84.172.25.161,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
81.184.232.107,1,1,0,0,0,1,0,0,0,1,3,0,0.0,0.0,3.0,0.5
152.71.136.168,1,1,2,1,1,0,0,0,1,0,0,0,0.2,0.0,0.0,0.0
124.126.181.36,1,1,2,0,0,0,1,0,0,0,4,1,0.0,0.0,2.0,0.0
115.64.118.190,1,1,2,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
99.1.238.86,1,1,2,1,1,0,0,0,1,0,2,0,0.2,0.0,1.0,0.0
Martin Hogbin,0,5,3,3,3,3,0,0,3,3,5,0,0.3,0.0,1.25,0.5
65.200.81.146,1,1,0,0,0,1,0,0,0,7,3,0,0.0,0.0,3.0,0.5
203.208.93.15,1,1,10,1,1,0,2,0,1,0,3,1,0.07692307692307693,0.0,0.75,0.0
Healy10,0,2,18,24,13,0,0,3,5,0,1,0,0.42857142857142855,1.0,0.1111111111111111,0.0
Cricobr,0,2,1,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
186.41.89.223,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
76.190.203.11,1,1,29,1,1,0,0,0,1,0,0,0,0.03125,0.0,0.0,0.0
173.178.189.3,1,1,6,0,0,0,1,0,0,0,1,0,0.0,0.0,0.5,0.0
Cube b3,0,1,28,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
TheScotch,0,3,4,4,1,0,1,2,1,0,0,0,0.4,0.5,0.0,0.0
Animaregius,0,1,1,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0
